Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,PASS,*,QUAL,*,0.993441,0.994486,0.613035,0.993963,335594,333393,2201,866073,333292,1848,530933,1477,0,,1.544658,,4.88806,,1.540989,,0.987696,,,1.624327,1.538222,,1.68427
INDEL,*,*,PASS,het,QUAL,*,0.996531,0.995321,0.62267,0.995926,188819,188164,655,500161,187843,883,311435,538,0,,,,,,,,,,,,,,
INDEL,*,*,PASS,hetalt,QUAL,*,0.94245,0.996966,0.596451,0.968942,24535,23123,1412,57993,23332,71,34590,68,0,,,,,,,,,,,,,,
INDEL,*,*,PASS,homalt,QUAL,*,0.998904,0.992732,0.600509,0.995809,122240,122106,134,307919,122117,894,184908,871,0,,,,,,,,,,,,,,
INDEL,*,HG002complexvar,PASS,*,QUAL,*,0.994497,0.99679,0.594601,0.995642,75048,74635,413,184416,74522,240,109654,205,0,,1.703754,,9.47619,,1.697572,,0.795918,,,1.708916,1.684107,,1.729004
INDEL,*,HG002complexvar,PASS,het,QUAL,*,0.99558,0.99825,0.589933,0.996913,45020,44821,199,108670,44484,78,64108,49,0,,,,,,,,,,,,,,
INDEL,*,HG002complexvar,PASS,hetalt,QUAL,*,0.946448,0.982646,0.696611,0.964208,3604,3411,193,12156,3624,64,8468,62,0,,,,,,,,,,,,,,
INDEL,*,HG002complexvar,PASS,homalt,QUAL,*,0.999205,0.996304,0.583079,0.997752,26424,26403,21,63590,26414,98,37078,94,0,,,,,,,,,,,,,,
INDEL,*,HG002compoundhet,PASS,*,QUAL,*,0.949724,0.953422,0.642949,0.951569,29139,27674,1465,80994,27572,1347,52075,1334,0,,6.039157,,31.5,,5.962236,,0.538095,,,2.030423,5.643505,,1.90183
INDEL,*,HG002compoundhet,PASS,het,QUAL,*,0.984289,0.892073,0.80079,0.935915,4010,3947,63,21023,3736,452,16835,442,0,,,,,,,,,,,,,,
INDEL,*,HG002compoundhet,PASS,hetalt,QUAL,*,0.942775,0.997632,0.531834,0.969428,24465,23065,1400,49617,23174,55,26388,54,0,,,,,,,,,,,,,,
INDEL,*,HG002compoundhet,PASS,homalt,QUAL,*,0.996988,0.440746,0.854935,0.611265,664,662,2,10354,662,840,8852,838,0,,,,,,,,,,,,,,
INDEL,*,decoy,PASS,*,QUAL,*,1.0,1.0,0.999353,1.0,10,10,0,15462,10,0,15452,0,0,,2.0,,,,2.0,,,,,2.478903,2.0,,2.47924
INDEL,*,decoy,PASS,het,QUAL,*,1.0,1.0,0.999433,1.0,6,6,0,10575,6,0,10569,0,0,,,,,,,,,,,,,,
INDEL,*,decoy,PASS,hetalt,QUAL,*,1.0,1.0,0.99839,1.0,1,1,0,621,1,0,620,0,0,,,,,,,,,,,,,,
INDEL,*,decoy,PASS,homalt,QUAL,*,1.0,1.0,0.999297,1.0,3,3,0,4266,3,0,4263,0,0,,,,,,,,,,,,,,
INDEL,*,func_cds,PASS,*,QUAL,*,0.997696,0.993151,0.464548,0.995418,434,433,1,818,435,3,380,1,0,,0.941176,,,,0.941176,,2.0,,,1.189702,0.950226,,1.544218
INDEL,*,func_cds,PASS,het,QUAL,*,1.0,0.990566,0.517084,0.995261,208,208,0,439,210,2,227,0,0,,,,,,,,,,,,,,
INDEL,*,func_cds,PASS,hetalt,QUAL,*,0.8,1.0,0.6,0.888889,5,4,1,10,4,0,6,0,0,,,,,,,,,,,,,,
INDEL,*,func_cds,PASS,homalt,QUAL,*,1.0,0.995495,0.398374,0.997743,221,221,0,369,221,1,147,1,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_AllRepeats_51to200bp_gt95identity_merged,PASS,*,QUAL,*,0.944478,0.95485,0.700301,0.949636,9798,9254,544,31852,9115,431,22306,379,0,,1.829688,,6.15,,1.789103,,1.203209,,,2.689916,1.658525,,3.216826
INDEL,*,lowcmp_AllRepeats_51to200bp_gt95identity_merged,PASS,het,QUAL,*,0.968718,0.940096,0.800838,0.954192,3932,3809,123,18859,3531,225,15103,181,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_AllRepeats_51to200bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.892117,0.994531,0.419258,0.940544,3717,3316,401,5982,3455,19,2508,17,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_AllRepeats_51to200bp_gt95identity_merged,PASS,homalt,QUAL,*,0.990693,0.919257,0.669662,0.953639,2149,2129,20,7011,2129,187,4695,181,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_AllRepeats_gt200bp_gt95identity_merged,PASS,*,QUAL,*,1.0,0.952381,0.993548,0.97561,20,20,0,3255,20,1,3234,0,0,,2.4,,,,2.4,,0.0,,,2.038499,2.4,,2.038722
INDEL,*,lowcmp_AllRepeats_gt200bp_gt95identity_merged,PASS,het,QUAL,*,1.0,1.0,0.994334,1.0,12,12,0,2118,12,0,2106,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_AllRepeats_gt200bp_gt95identity_merged,PASS,hetalt,QUAL,*,1.0,1.0,0.969388,1.0,3,3,0,98,3,0,95,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_AllRepeats_gt200bp_gt95identity_merged,PASS,homalt,QUAL,*,1.0,0.833333,0.994225,0.909091,5,5,0,1039,5,1,1033,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_AllRepeats_lt51bp_gt95identity_merged,PASS,*,QUAL,*,0.991069,0.992853,0.745311,0.99196,92035,91213,822,360381,91129,656,268596,563,0,,1.569018,,10.5,,1.563057,,1.320463,,,1.645591,1.55685,,1.675517
INDEL,*,lowcmp_AllRepeats_lt51bp_gt95identity_merged,PASS,het,QUAL,*,0.995536,0.992722,0.765727,0.994127,47047,46837,210,200591,46651,342,153598,256,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_AllRepeats_lt51bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.960541,0.996225,0.615559,0.978058,15003,14411,592,37894,14513,55,23326,54,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_AllRepeats_lt51bp_gt95identity_merged,PASS,homalt,QUAL,*,0.999333,0.991431,0.752051,0.995366,29985,29965,20,121896,29965,259,91672,253,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331,PASS,*,QUAL,*,0.98091,0.985214,0.684168,0.983058,63595,62381,1214,199796,62169,933,136694,809,0,,1.678584,,7.204545,,1.664795,,1.202532,,,2.017433,1.640978,,2.195169
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331,PASS,het,QUAL,*,0.989317,0.98385,0.745079,0.986576,29674,29357,317,115377,28937,475,85965,371,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331,PASS,hetalt,QUAL,*,0.947485,0.995977,0.424841,0.971126,16243,15390,853,27229,15598,63,11568,60,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331,PASS,homalt,QUAL,*,0.997511,0.978091,0.684753,0.987705,17678,17634,44,57190,17634,395,39161,378,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_51to200bp_gt95identity_merged,PASS,*,QUAL,*,0.975273,0.97711,0.77204,0.976191,2103,2051,52,9199,2049,48,7102,20,0,,1.705718,,5.6,,1.678371,,1.823529,,,2.118741,1.671348,,2.275278
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_51to200bp_gt95identity_merged,PASS,het,QUAL,*,0.977105,0.974611,0.793889,0.975857,1223,1195,28,5924,1190,31,4703,7,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_51to200bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.883436,1.0,0.693111,0.938111,163,144,19,479,147,0,332,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_51to200bp_gt95identity_merged,PASS,homalt,QUAL,*,0.993026,0.97668,0.73927,0.984786,717,712,5,2796,712,17,2067,13,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_gt200bp_gt95identity_merged,PASS,*,QUAL,*,1.0,0.944444,0.994229,0.971429,17,17,0,3119,17,1,3101,0,0,,2.5,,,,2.5,,0.0,,,1.990138,2.5,,1.990089
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_gt200bp_gt95identity_merged,PASS,het,QUAL,*,1.0,1.0,0.995045,1.0,10,10,0,2018,10,0,2008,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_gt200bp_gt95identity_merged,PASS,hetalt,QUAL,*,1.0,1.0,0.965517,1.0,3,3,0,87,3,0,84,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_gt200bp_gt95identity_merged,PASS,homalt,QUAL,*,1.0,0.8,0.995069,0.888889,4,4,0,1014,4,1,1009,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt101bp_gt95identity_merged,PASS,*,QUAL,*,0.995394,0.995192,0.758362,0.995293,4993,4970,23,20659,4968,24,15667,10,0,,1.585458,,6.0,,1.580663,,2.666667,,,1.837803,1.577404,,1.931028
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt101bp_gt95identity_merged,PASS,het,QUAL,*,0.995893,0.994521,0.770926,0.995206,2922,2910,12,12747,2904,16,9827,4,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt101bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.960526,0.991111,0.769467,0.975579,228,219,9,976,223,2,751,2,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt101bp_gt95identity_merged,PASS,homalt,QUAL,*,0.998915,0.996751,0.733708,0.997832,1843,1841,2,6936,1841,6,5089,4,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt51bp_gt95identity_merged,PASS,*,QUAL,*,0.998303,0.997738,0.765202,0.99802,3535,3529,6,15064,3529,8,11527,3,0,,1.577156,,,,1.576399,,2.0,,,1.742955,1.574887,,1.799389
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt51bp_gt95identity_merged,PASS,het,QUAL,*,0.99952,0.998082,0.772121,0.998801,2085,2084,1,9154,2082,4,7068,1,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt51bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.960938,0.984252,0.806991,0.972455,128,123,5,658,125,2,531,2,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt51bp_gt95identity_merged,PASS,homalt,QUAL,*,1.0,0.998489,0.747906,0.999244,1322,1322,0,5252,1322,2,3928,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_51to200bp_gt95identity_merged,PASS,*,QUAL,*,0.935757,0.947975,0.65308,0.941826,5915,5535,380,16511,5430,298,10783,283,0,,1.844948,,5.461538,,1.803524,,0.986014,,,2.742616,1.61674,,3.492157
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_51to200bp_gt95identity_merged,PASS,het,QUAL,*,0.966478,0.928644,0.782857,0.947183,2118,2047,71,9100,1835,141,7124,128,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_51to200bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.88826,0.994341,0.395553,0.938312,2649,2353,296,4093,2460,14,1619,13,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_51to200bp_gt95identity_merged,PASS,homalt,QUAL,*,0.988676,0.888106,0.614828,0.935697,1148,1135,13,3318,1135,143,2040,142,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_gt200bp_gt95identity_merged,PASS,*,QUAL,*,1.0,1.0,0.978102,1.0,3,3,0,137,3,0,134,0,0,,2.0,,,,2.0,,,,,3.846154,2.0,,3.92
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_gt200bp_gt95identity_merged,PASS,het,QUAL,*,1.0,1.0,0.98,1.0,2,2,0,100,2,0,98,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_gt200bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.0,,1.0,,0,0,0,11,0,0,11,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_gt200bp_gt95identity_merged,PASS,homalt,QUAL,*,1.0,1.0,0.961538,1.0,1,1,0,26,1,0,25,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt101bp_gt95identity_merged,PASS,*,QUAL,*,0.974918,0.979842,0.577644,0.977374,36879,35954,925,86446,35775,736,49935,706,0,,1.535564,,7.4,,1.522877,,1.117647,,,1.997365,1.484478,,2.389361
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt101bp_gt95identity_merged,PASS,het,QUAL,*,0.989597,0.97437,0.685033,0.981925,14227,14079,148,44719,13724,361,30634,335,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt101bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.943453,0.995956,0.335092,0.968994,13387,12630,757,19338,12806,52,6480,51,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt101bp_gt95identity_merged,PASS,homalt,QUAL,*,0.997841,0.966242,0.572647,0.981787,9265,9245,20,22389,9245,323,12821,320,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt51bp_gt95identity_merged,PASS,*,QUAL,*,0.982139,0.985587,0.569163,0.98386,31130,30574,556,71823,30498,446,40879,429,0,,1.49693,,10.0,,1.488567,,1.236264,,,1.911655,1.470371,,2.247917
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt51bp_gt95identity_merged,PASS,het,QUAL,*,0.993436,0.981535,0.670693,0.98745,12188,12108,80,37002,11960,225,24817,211,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt51bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.956667,0.996265,0.324733,0.976065,10800,10332,468,15465,10404,39,5022,38,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt51bp_gt95identity_merged,PASS,homalt,QUAL,*,0.999017,0.978114,0.570366,0.988455,8142,8134,8,19356,8134,182,11040,180,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_Human_Full_Genome_TRDB_hg19_150331_all_gt95identity_merged,PASS,*,QUAL,*,0.976717,0.981054,0.631432,0.97888,42176,41194,982,113420,41011,792,71617,726,0,,1.55165,,6.846154,,1.53931,,1.167155,,,1.98592,1.506679,,2.272727
